title,stars_rating,run_time,release_date,mpaa_rating,genre,director,cast
Across the Universe,2.0,133.0,2007,"Profanity, Nudity, Sexual Situations",MUSICAL/DRAMA,Julie Taymor,"Evan Rachel Wood, Jim Sturgess, Joe Anderson, Dana Fuchs, Martin Luther, T.V. Carpio"
Nosferatu,3.5,82.0,,Violence,HORROR/SILENT,F.W. Murnau,"Max Schreck, Greta Schröder, Gustav von Wangenheim, Alexander Granach, John Gottowt"
First Sunday,2.5,97.0,2008,"Profanity, Violence, Sexual Situations",COMEDY/DRAMA,David E. Talbert,"Ice Cube, Tracy Morgan, Katt Williams, Loretta Devine, Michael Beach, Keith David, Regina Hall, Malinda Williams, Chi McBride"
"The Cook, the Thief, His Wife and Her Lover",3.5,125.0,,"Sexual Situations, Nudity, Violence, Profanity",COMEDY,Peter Greenaway,"Richard Bohringer, Michael Gambon, Helen Mirren, Alan Howard, Tim Roth, Ciaran Hinds, Liz Smith"
"Family Stone, The",3.0,102.0,2005,"Sexual Situations, Profanity",DRAMA/COMEDY,Thomas Bezucha,"Sarah Jessica Parker, Elizabeth Reaser, Tyrone Giordano, Claire Danes, Rachel McAdams, Luke Wilson, Diane Keaton, Craig T. Nelson, Dermot Mulroney, Brian White"
One Flew Over the Cuckoo's Nest,3.5,133.0,1975,"Profanity, Nudity, Sexual Situations",DRAMA,Milos Forman,"Jack Nicholson, Marya Small, Louisa Mortiz, Christopher Lloyd, Sydney Lassick, Danny DeVito, Michael Berryman, Will Sampson, William Redfield, Louise Fletcher, Brad Dourif"
"Me, Myself &amp; Irene",3.0,115.0,2000,"Profanity, Sexual Situations, Nudity, Violence",COMEDY,"Bobby Farrelly, Peter Farrelly","Jim Carrey, Richard Jenkins, Michael Bowman, Jerod Mixon, Mongo Brownlee, Anthony Anderson, Robert Forster, Chris Cooper, Renee Zellweger, Rob Moran"
Tarzan,3.0,90.0,,Nothing Objectionable,ANIMATED,"Chris Buck, Kevin Lima","(voices) Tony Goldwyn, Minnie Driver, Glenn Close, Lance Henriksen, Rosie O'Donnell, Brian Blessed, Nigel Hawthorne, Alex D. Linz"
"Price above Rubies, A",2.0,117.0,1998,"Profanity, Sexual Situations",DRAMA,Boaz Yakin,"Renee Zellweger, Christopher Eccleston, Glenn Fitzgerald, Allen Payne, Julianna Margulies"
King Kong,3.5,187.0,2005,Violence,ADVENTURE,Peter Jackson,"Naomi Watts, Jack Black, Adrien Brody, Andy Serkis, Jamie Bell, Kyle Chandler, Thomas Kretschmann"
Wristcutters: A Love Story,2.5,91.0,2007,Profanity,ROMANCE,Goran Dukic,"Patrick Fugit, Shannyn Sossamon, Shea Whigham, Tom Waits, Leslie Bibb"
"Tracey Fragments, The",1.5,77.0,2008,"Profanity, Sexual Situations, Violence",DRAMA,Bruce McDonald,"Ellen Page, Slim Twig, Ari Cohen, Julian Richlings, Maxwell McCabe-Lokos, Zie Souwand"
Silent Hill,2.5,125.0,2006,"Violence, Profanity",HORROR,Christophe Gans,"Radha Mitchell, Sean Bean, Laurie Holden, Jodelle Ferland, Deborah Kara Unger, Kim Coates, Alice Krige"
"Door in the Floor, The",3.0,110.0,2004,"Nudity, Sexual Situations, Profanity",DRAMA,Tod Williams,"Jeff Bridges, Kim Basinger, Jon Foster, Mimi Rogers, Bijou Phillips, Elle Fanning"
Shakespeare in Love,3.0,123.0,1998,"Sexual Situations, Nudity, Profanity",COMEDY/DRAMA,John Madden,"Gwyneth Paltrow, Simon Callow, Judi Dench, Imelda Stuanton, Tom Wilkinson, Ben Affleck, Colin Firth, Geoffrey Rush, Joseph Fiennes, Rupert Everett"
Alice and Martin,3.0,124.0,2000,"Sexual Content, Profanity, Nudity, Violence",DRAMA,Andre Téchiné,"Juliette Binoche, Alexis Loret, Mathieu Amalric, Carmen Maura, Pierre Maguelon, Marthe Villalonga"
Braveheart,4.0,170.0,1995,"Violence, Nudity",ACTION/ADVENTURE,Mel Gibson,"Mel Gibson, Patrick McGoohan, Sophie Marceau, Brendan Gleeson, Catherine McCormack, Angus Macfadyen"
Gladiator,3.5,155.0,2000,Violence,ADVENTURE,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Richard Harris, Djimon Hounsou, Connie Nielsen, Oliver Reed, Tomas Arana, Derek Jacobi, Spencer Treat Clark"
Killing Them Softly,3.5,97.0,2012,"Violence, Profanity, Sexual Content, Drugs",DRAMA/THRILLER,Andrew Dominik,"Brad Pitt, Scoot McNairy, Ben Mendelsohn, James Gandolfini, Richard Jenkins, Vincent Curatola, Ray Liotta"
Deadfall,2.5,95.0,2012,"Violence, Profanity, Sexual Content, Nudity",THRILLER,Stefan Ruzowitzky,"Eric Bana, Olivia Wilde, Charlie Hunnam, Sissy Spacek, Kris Kristofferson, Kate Mara, Treat Williams"
Red Dawn,2.0,95.0,2012,"Violence, Profanity",ACTION/ADVENTURE,Dan Bradley,"Chris Hemsworth, Brett Cullen, Alyssa Diaz, Edwin Hodge, Connor Cruise, Jeffrey Dean Morgan, Isabel Lucas, Adrianne Palicki, Josh Hutcherson, Josh Peck, Will Yun Lee"
Life of Pi,3.0,127.0,2012,Animal violence,DRAMA/ADVENTURE,Ang Lee,"Suraj Sharma, Irrfan Khan, Rafe Spall, Adil Hussain, Tabu"
Hitchcock,3.0,98.0,2012,Violence,DRAMA,Sacha Gervasi,"Anthony Hopkins, Helen Mirren, Scarlett Johansson, Jessica Biel, James D'Arcy, Toni Collette, Danny Huston, Michael Wincott"
Rise of the Guardians,3.0,97.0,2012,,ANIMATED,Peter Ramsey,"(voices) Chris Pine, Alec Baldwin, Hugh Jackman, Jude Law, Isla Fisher"
Lincoln,3.5,150.0,2012,"Violence, Profanity",DRAMA,Steven Spielberg,"Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt, James Spader, Hal Holbrook, Tommy Lee Jones, John Hawkes"
Twilight: Breaking Dawn Part Two,2.0,116.0,2012,"Violence, Sexual Content",ROMANCE/HORROR,Bill Condon,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli, Ashley Greene, Billy Burke, Mackenzie Foy, Michael Sheen, Dakota Fanning"
Anna Karenina,3.0,130.0,2012,Sexual Content,DRAMA,Joe Wright,"Kiera Knightley, Jude Law, Aaron Taylor-Johnson, Domhall Gleeson, Alicia Vikander, Matthew Macfadyen, Kelly Macdonald"
Silver Linings Playbook,3.5,117.0,2012,"Profanity, Sexual Content",COMEDY/ROMANCE,David O. Russell,"Bradley Cooper, Jennifer Lawrence, Robert DeNiro, Jacki Weaver, Chris Tucker, Julia Stiles, Brea Bee"
Ask the Dust,3.0,120.0,2006,"Nudity, Sexual Situations, Profanity",DRAMA,Robert Towne,"Colin Farrell, Salma Hayek, Idina Menzel, Donald Sutherland"
"Interpreter, The",3.0,128.0,2005,"Violence, Profanity, Sexual Situations",THRILLER,Sydney Pollack,"Nicole Kidman, Sean Penn, Catherine Keener, Jesper Christensen, Yvan Attal, Earl Cameron, George Harris, Hugo Speer, Curtiss I'Cook"
Quantum of Solace,2.5,106.0,2008,"Violence, Sexual Situations",ACTION/ADVENTURE,Marc Forster,"Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench, Giancarlo Giannini, Gemma Arterton, Jeffrey Wright"
"Evil Dead, The",3.0,85.0,,"Violence, Profanity, Nudity",HORROR,Sam Raimi,"Bruce Campbell, Ellen Sandweiss, Hal Delrich, Betsy Baker, Sarah York"
Giant,3.0,201.0,,,DRAMA,George Stevens,"Elizabeth Taylor, Rock Hudson, James Dean, Mercedes McCambridge, Dennis Hopper, Carroll Baker, Fran Bennett"
Swept Away,3.5,114.0,,"Sexual Situations, Nudity, Violence, Profanity",DRAMA,Lina Wertmuller,"Mariangela Melato, Giancarlo Giannini"
Sleepwalking,2.0,100.0,2008,"Profanity, Violence, Sexual Situations",DRAMA,William Maher,"Nick Stahl, AnnaSophia Robb, Charlize Theron, Dennis Hopper, Woody Harrelson, Deborra-Lee Furness"
Over Her Dead Body,2.0,95.0,2008,"Sexual Situations, Profanity",ROMANTIC COMEDY,Jeff Lowell,"Eva Longoria Parker, Paul Rudd, Lake Bell, Jason Biggs, Lindsay Sloane"
ATL,3.0,107.0,2006,"Profanity, Sexual Situations, Violence",DRAMA,Chris Robinson,"Tip Harris, Lauren London, Evan Ross, Jackie Long, Mykelti Williamson, Keith David, Jason Weaver, Albert Daniels"
Junebug,3.0,108.0,2005,"Profanity, Sexual Situations, Nudity",DRAMA,Phil Morrison,"Embeth Davidtz, Alessandro Nivola, Benjamin McKenzie, Amy Adams, Celia Weston, Scott Wilson"
Kandahar,2.0,120.0,2023,Violence,Action/Thriller,Ric Roman Waugh,"Gerard Butler, Navid Negahban, Ali Fazal, Bahador Foladi, Nina Touissant-White, Travis Fimmel"
"Little Mermaid, The",3.0,135.0,2023,Violence,Fantasy/Adventure,Rob Marshall,"Halle Bailey, Jonah Hauer-King, Melissa McCarthy, Javier Bardem, Noma Dumezweni, Art Malik, Daveed Diggs, Jacob Tremblay, Awkwafina"
Fast X,2.0,141.0,2023,"Violence, Profanity",Action/Thriller,Louis Leterrier,"Vin Diesel, Alan Ritchson, Brie Larson, Charlize Theron, Sung Kang, John Cena, Nathalie Emmanuel, Chris ‘Ludacris’ Bridges, Tyrese Gibson, Jordana Brewster, Jason Momoa, Michelle Rodriguez, Jason Statham"
Hypnotic,2.0,92.0,2023,Violence,Science Fiction/Thriller,Robert Rodriguez,"Ben Affleck, Alice Braga, JD Pardo, Dayo Okeniyi, Jeff Fahey, Jackie Earle Haley, William Fichtner"
Coal Miner's Daughter,3.0,124.0,2023,Spousal Abuse,Drama,Michael Apted,"Sissy Spacek, Tommy Lee Jones, Levon Helm, Phyllis Boyens, Williams Sanderson, Beverly D’Angelo, Robert Elkins"
Guardians of the Galaxy Volume 3,2.5,149.0,2023,"Violence, Profanity",Action/Science Fiction,James Gunn,"Chris Pratt, Zoe Saldana, Dave Bautista, Bradley Cooper, Karen Gillan, Pom Klementieff, Elizabeth Debicki, Sean Gunn, Sylvester Stallone, Vin Diesel, Will Poulter, Chukwudi Iwuji, Maria Bakalova"
"Are You There God? It's Me, Margaret",3.0,105.0,2023,"Suggestive material, Sexual Education Topics",Drama/Comedy,Kelly Fremon Craig,"Abby Ryder Fortson, Rachel McAdams, Kathy Bates, Benny Safdie, Elle Graham, Amari Price, Katherine Kupferer"
Sisu,3.5,91.0,2023,"Violence, Gore",Action/Thriller,Jalmari Helander,"Jorma Tommila, Aksel Hennie, Jack Doolan"
Guy Ritchie's The Covenant,3.0,123.0,2023,"Violence, Profanity",Action/Drama,Guy Ritchie,"Jake Gyllenhaal, Dar Salim, Antony Starr, Jonny Lee Miller, Emily Beecham, Fariba Sheikhan"
Evil Dead Rise,2.5,99.0,2023,"Violence, Gore, Profanity",Horror,Lee Cronin,"Lily Sullivan, Alyssa Sutherland, Gabrielle Echols, Morgan Davies, Nell Fisher"
Red Beard,3.5,185.0,,"Nudity, Violence",Drama,Akira Kurosawa,"Toshiro Mifune, Yuzo Kayama, Terumi Niki, Yoshio Tsuchiya, Tsutomu Yamazaki, Miyuki Kuwano, Yoshitaka Zushi"
"Ballad of Buster Scruggs, The",3.0,132.0,2018,"Violence, Sexual Content",Western,Joel Coen &amp; Ethan Coen,"Tim Blake Nelson, Tyne Daly, Saul Rubinek, Brendan Gleeson, Jonjo O’Neill, Grainger Hines, Zoe Kazan, Bill Heck, Tom Waits, Henry Melling, Liam Neeson, Stephen Root, James Franco, Chelcie Ross"
Green Book,3.0,130.0,2018,"Profanity, Violence, Sexual Content, Disturbing Images",Drama,Peter Farrelly,"Viggo Mortensen, Mahershala Ali, Linda Cardellini"
Creed II,2.0,117.0,2018,"Violence, Profanity, Sexual Content",Drama/Action,Steven Caple Jr.,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Dolph Lundgren, Florian Munteanu, Russell Hornsby, Phylicia Rashad, Brigitte Nielsen"
Ralph Breaks the Internet,3.0,112.0,2018,,Animated,"Phil Johnston, Rich Moore","John C. Reilly, Sarah Silverman, Gal Gadot, Taraji P. Henson, Jack McBrayer, Jane Lynch, Alan Tudyk, Ed O’Neill"
"Front Runner, The",2.5,113.0,2018,"Profanity, Sexual Content",Drama,Jason Reitman,"Hugh Jackman, Vera Farmiga, J.K. Simmons, Mark O’Brien, Molly Ephraim, Alfred Molina, Mamoudou Athie, Sara Paxton, Kaitlyn Dever"
"Star Wars Holiday Special, The",1.0,97.0,1978,,Science Fiction/Variety,Steve Binder,"Mark Hamill, Harrison Ford, Carrie Fisher, Peter Mayhew, Anthony Daniels, James Earl Jones, Mickey Morton, Paul Gale, Patty Maloney, Beatrice Arthur, Art Carney, Harvey Korman, Diahann Carroll, Jefferson Starship"
Fantastic Beasts: The Crimes of Grindelwald,2.5,134.0,2018,"Violence, Frightening Images",Fantasy,David Yates,"Eddie Redmayne, Claudia Kim, Carmen Ejogo, Zoe Kravitz, Johnny Depp, Jude Law, Ezra Miller, Alison Sudol, Dan Fogler, Katherine Waterston, Callum Turner"
Tom Jones,3.0,121.0,,"Sexual Content, Profanity, Violence",Comedy/Adventure,Tony Richardson,"Albert Finney, Joan Greenwood, Julian Glover, Edith Evans, David Warner, Joyce Redman, Hugh Griffith, George Devine, Susannah York, Micheal Mac Liammoir"
Widows,3.5,129.0,2018,"Violence, Profanity, Sexual Content, Nudity",Thriller,Steve McQueen,"Viola Davis, Daniel Kaluuya, Brian Tyree Henry, Robert Duvall, Colin Farrell, Cynthia Erivo, Carrie Coon, Elizabeth Debicki, Michelle Rodriguez, Liam Neeson"
Ben Is Back,2.5,103.0,2018,"Profanity, Drugs",Drama,Peter Hedges,"Julia Roberts, Lucas Hedges Courtney B. Vance, Kathryn Newton, Rachel Bay Jones"
Destroyer,3.0,117.0,2018,"Violence, Profanity, Sexual Content",Drama/Thriller,Karyn Kusama,"Nicole Kidman, Toby Kebbell, Tatiana Maslany, Sebastian Stan, Scoot McNairy, Bradley Whitford, Beau Knapp, Jade Pettyjohn"
Bumblebee,3.0,114.0,2018,"Violence, Profanity",Science Fiction/Action,Travis Knight,"Hailee Steinfeld, Jorge Lendeborg Jr., John Cena, Jason Drucker, Pamela Adlon, Stephen Schneider, Angela Bassett, Justin Theroux, Peter Cullen"
Aquaman,2.5,143.0,2018,Violence,Action/Adventure,James Wan,"Jason Momoa, Amber Heard, Willem Dafoe, Patrick Wilson, Nicole Kidman, Dolph Lundgren, Yahya Abdul-Mateen II, Temeura Morrison"
Vice,2.5,132.0,2018,Profanity,Drama/Comedy,Adam McKay,"Christian Bale, Amy Adams, Steve Carell, Sam Rockwell, Alison Pill, Eddie Marsan, Lily Rabe, Tyler Perry"
"Midnight Clear, A",3.0,108.0,1992,"Violence, Profanity",War/Drama,Keith Gordon,"Ethan Hawke, Gary Sinise, Peter Berg, Kevin Dillon, Arye Gross, Frank Whaley, John C. McGinley"
On the Basis of Sex,3.0,120.0,2018,Profanity,Drama,Mimi Leder,"Felicity Jones, Armie Hammer, Justin Theroux, Sam Waterston, Kathy Bates, Cailee Spaeny, Jack Reynor, Stephen Root, Chris Mulkey"
Cold War,3.0,88.0,2018,"Profanity, Sexual Content, Nudity",Drama,Pawel Pawlikowski ,"Tomasz Kot, Joanna Kulig"
Mary Poppins Returns,3.0,130.0,2018,,Musical,Rob Marshall,"Emily Blunt, David Warner, Angela Lansbury, Meryl Streep, Colin Firth, Julie Walters, Ben Whishaw, Emily Mortimer, Lin-Manuel Miranda, Dick Van Dyke"
If Beale Street Could Talk,3.5,119.0,2018,"Profanity, Sexual Content, Nudity",Drama,Barry Jenkins,"Kiki Layne, Stephan James, Regina King, Colman Domingo, Toyonah Parris, Michael Beach, Diego Luna, Finn Wittrock, Emily Rios"
When a Man Loves a Woman,3.0,126.0,1994,"Profanity, Mature Themes",DRAMA,Luis Mandoki,"Meg Ryan, Andy Garcia, Tina Marjorino, Mae Whitman, Ellen Burstyn"
Toys,2.0,121.0,1992,Mature Themes,COMEDY,Barry Levinson,"Robin Williams, Michael Gambon, Joan Cusack, Robin Wright, LL Cool J, Donald O'Connor"
Kingsman: The Secret Service,3.0,128.0,2015,"Violence, Profanity, Sexual Content, Brief Nudity",ACTION/COMEDY,Matthew Vaughn,"Colin Firth, Samuel L. Jackson, Michael Caine, Mark Strong, Taron Egerton, Sophie Cookson, Sofia Boutella"
"Princess Bride, The",4.0,98.0,1987,Violence,FANTASY/COMEDY,Rob Reiner,"Wallace Shawn, Billy Crystal, Mel Smith, Fred Savage, Peter Falk, Andre the Giant, Christopher Guest, Chris Sarandon, Robin Wright, Mandy Patinkin, Cary Elwes, Carol Kane"
Circle of Friends,2.0,103.0,1995,"Profanity, Sexual Situations",DRAMA/ROMANCE,Pat O'Connor,"Chris O'Donnell, Minnie Driver, Colin Firth, Geraldine O'Rawe, Saffron Burrows, Alan Cumming"
Margot at the Wedding,2.0,92.0,2007,"Profanity, Sexual Situations, Nudity",DRAMA,Noah Baumbach,"Nicole Kidman, Jack Black, Jennifer Jason Leigh, Zane Pais, Ciaran Hinds, John Turturro"
United 93,4.0,88.0,2006,"Violence, Profanity",DRAMA,Paul Greengrass,"Cheyenne Jackson, Jamie Harding, Omar Berdouni, Lewis Alsamari, Khalid Abdalla, Polly Adams, JJ Johnson, Christian Clemenson, David Alan Basche, Ben Sliney"
"Day After Tomorrow, The",2.5,124.0,2004,Mature Themes,ACTION/ADVENTURE,Roland Emmerich,"Dennis Quaid, Tamlyn Tomita, Austin Nichols, Jay O. Sanders, Dash Mihok, Emmy Rossum, Ian Holm, Sela Ward, Jake Gyllenhaal, Kenneth Walsh"
Burn After Reading,3.0,95.0,2008,"Profanity, Violence, Sexual Situations",COMEDY,Joel &amp; Ethan Coen,"George Clooney, Frances McDormand, Brad Pitt, John Malkovich, Tilda Swinton, Richard Jenkins"
"Piano, The",3.0,121.0,1993,"Sexual Situations, Nudity, Violence",DRAMA,Jane Campion,"Holly Hunter, Harvey Keitel, Sam Neill, Anna Paquin"
Did You Hear about the Morgans?,1.5,103.0,2009,"Profanity, Sexual Content, Violence",ROMANCE/COMEDY,Marc Lawrence,"Hugh Grant, Sarah Jessica Parker, Sam Elliott, Mary Steenburgen, Wilford Brimley, Michael Kelly"
Crazy Heart,3.0,113.0,2009,"Profanity, Sexual Content",DRAMA,Scott Cooper,"Jeff Bridges, Maggie Gyllenhaal, Jack Nation, Robert Duvall, Colin Farrell"
Nine,3.0,115.0,2009,Sexual Content,MUSICAL,Rob Marshall,"Daniel Day-Lewis, Marion Cotillard, Penelope Cruz, Nicole Kidman, Judi Dench, Kate Hudson, Sophia Loren, Fergie"
"Young Victoria, The",2.5,100.0,2009,,DRAMA,Jean-Marc Vallée,"Emily Blunt, Rupert Friend, Miranda Richardson, Paul Bettany, Mark Strong, Thomas Kretschmann, Jim Broadbent"
"Princess and the Frog, The",3.5,95.0,2009,,ANIMATED,"Ron Clements, John Musker","(voices) Anika Noni Rose, Terrence Howard, Oprah Winfrey, Jenifer Lewis, Peter Bartlett, Jim Cummings, Jennifer Cody, Michael-Leon Wooley, Keith David, Bruno Campos, John Goodman"
"Single Man, A",2.5,99.0,2009,"Nudity, Sexual Content, Profanity",DRAMA,Tom Ford,"Colin Firth, Julianne Moore, Matthew Goode, Nicholas Hoult"
All Quiet on the Western Front,3.5,133.0,,,WAR/DRAMA,Lewis Milestone,"Lewis Ayres, Louis Wolheim, John Wray, Arnold Lucy"
Invictus,3.0,130.0,2009,Profanity,DRAMA,Clint Eastwood,"Morgan Freeman, Matt Damon"
Everybody's Fine,3.0,100.0,2009,"Profanity, Mature Themes",DRAMA,Kirk Jones,"Robert DeNiro, Kate Beckinsale, Sam Rockwell, Drew Barrymore"
Up in the Air,3.5,109.0,2009,"Sexual Content, Profanity",COMEDY/DRAMA,Jason Reitman,"George Clooney, Vera Farmiga, Anna Kendrick, Jason Bateman"
Pirate Radio,3.0,120.0,2009,"Profanity, Sexual Situations, Nudity",DRAMA/COMEDY,Richard Curtis,"Philip Seymour Hoffman, Rhys Ifans, Ralph Brown, Ike Hamilton, Chris O'Dowd, Katherine Parkinson, Nick Frost, Rhys Darby, Tom Brooke, Jack Davenport, Kenneth Branagh, Bill Nighy, Tom Sturridge, Emma Thompson"
Sunrise: A Song of Two Humans,3.5,94.0,,Mature Themes,DRAMA,F.W. Murnau,"George O'Brien, Janet Gaynor, Margaret Livingston"
"Christmas Carol, A",3.0,96.0,2009,Scary Images,ANIMATED,Robert Zemeckis,"Jim Carrey, Gay Oldman, Colin Firth, Robin Wright Penn, Bob Hoskins, Cary Elwes"
"Box, The",2.5,116.0,2009,Violence,SCIENCE FICTION/HORROR,Richard Kelly,"Cameron Diaz, James Marsden, Frank Langella, Sam Oz Stone, James Rebhorn, Holmes Osborne"
"Fourth Kind, The",2.0,98.0,2009,"Violence, Profanity, Sexual Situations",SCIENCE FICTION/HORROR,Olatunde Osunsanmi,"Milla Jovovich, Elias Koteas, Will Patton, Hakeem Kae-Kazim"
Precious,3.5,109.0,2009,"Profanity, Violence, Sexual Situations",DRAMA,Lee Daniels,"Gabby Sidibe, Mo'Nique, Paul Patton, Mariah Carey, Lenny Kravitz"
"Broadway Melody, The",2.0,100.0,,,MUSICAL,Harry Beaumont,"Charles King, Anita Page, Bessie Love, Jed Prouty, Kenneth Thomson, Eddie Kane"
"Men Who Stare at Goats, The",3.0,93.0,2009,"Profanity, Nudity, Drugs",COMEDY,Grant Heslov,"George Clooney, Ewan McGregor, Jeff Bridges, Kevin Spacey, Stephen Lang, Robert Patrick"
Bronson,2.5,92.0,2009,"Violence, Nudity, Sexual Situations, Profanity",DRAMA,Nicolas Winding Refn,Tom Hardy
Wings,3.0,141.0,,"Violence, Nudity",ADVENTURE/ROMANCE,William A. Wellman,"Charles Rogers, Richard Arlen, Clara Bow, Jobyna Ralston, El Brendel, Gary Cooper"
Tin Cup,3.0,130.0,1996,"Profanity, Sexual Situations, Nudity",DRAMA/COMEDY,Ron Shelton,"Kevin Costner, Rene Russo, Cheech Marin, Don Johnson, Linda Hart, Dennis Burkley"
Contact,4.0,150.0,1997,Profanity,SCIENCE FICTION,Robert Zemeckis,"Jodie Foster, David Morse, Rob Lowe, John Hurt, Angela Bassett, William Fichtner, Tom Skerritt, James Woods, Matthew McConaughey, Jena Malone"
Grindhouse,3.0,190.0,2007,"Violence, Profanity, Sexual Situations, Nudity",ACTION/THRILLER,Robert Rodriguez (<i,"Planet Terror</i, Zoe Bell, Rose McGowan, Vanessa Ferlito, Rosario Dawson, Death Proof</i, Naveen Andrews, Michael Biehn, Bruce Willis, Marley Shelton, Josh Brolin, Freddy Rodriguez, Tracie Thoms"
Borat,3.0,82.0,2006,"Profanity, Nudity",COMEDY,Larry Charles,"Sacha Baron Cohen, Ken Davitian, Pamela Anderson"
Nathalie...,3.0,105.0,2006,"Sexual Situations, Nudity, Profanity",DRAMA,Anne Fontaine,"Fanny Ardant, Emmanuelle Béart, Gérard Depardieu"
Brick Lane,3.0,102.0,2008,Sexual Situations,DRAMA,Sarah Gavron,"Tannishtha Chatterjee, Satish Kaushik, Christopher Simpson, Lalita Ahmed, Naeema Begum"
Happy Gilmore,2.0,91.0,1996,"Profanity, Sexual Situations, Cartoon Violence",COMEDY,Dennis Dugan,"Adam Sandler, Christopher McDonald, Carl Weathers, Julie Bowen, Richard Kiel"
Species,2.5,108.0,1995,"Violence, Profanity, Nudity, Sexual Situations",SCIENCE FICTION/HORROR,Roger Donaldson,"Ben Kingsley, Michael Madsen, Forest Whitaker, Alfred Molina, Marg Helgenberger, Natasha Henstridge"
Hairspray,3.0,107.0,2007,Nothing Objectionable,MUSICAL,Adam Shankman,"Nikki Blonsky, John Travolta, Amanda Bynes, Christopher Walken, Queen Latifa, Michelle Pfeiffer, James Marsden, Zac Efron, Elijah Kelley"
Rear Window,4.0,113.0,,Violence,THRILLER,Alfred Hitchcock,"James Stewart, Grace Kelley, Wendell Corey, Thelma Ritter, Raymond Burr"
Tom and Viv,2.5,115.0,,"Profanity, Mature Themes",DRAMA,Brian Gilbert,"Willem Dafoe, Miranda Richardson, Rosemary Harris, Tim Dutton, Nickolas Grace"
Ocean's Eleven,3.0,118.0,2001,"Profanity, Violence",THRILLER,Steven Soderbergh,"George Clooney, Eddie Jemison, Shaobo Qin, Carl Reiner, Elliott Gould, Andy Garcia, Matt Damon, Don Cheadle, Scott Caan, Casey Affleck, Julia Roberts, Brad Pitt, Bernie Mac"
Alien vs. Predator,1.5,90.0,2004,"Violence, Profanity",SCIENCE FICTION/ACTION,Paul W.S. Anderson,"Lathan, Raoul Bova, Lance Henriksen, Ewan Bremner, Colin Salmon, Tommy Flanagan, Joseph Rye"
"Sea Inside, The",3.5,125.0,2004,Mature Themes,DRAMA,Alejandro Amenábar,"Javier Bardem, Belén Rueda, Lola Dueñas, Mabel Rivera, Celso Bugallo"
"Last Mistress, The",2.0,114.0,2008,"Sexual Situations, Nudity",DRAMA,Catherine Breillat,"Asia Argento, Fu'ad Ait Aattou, Roxane Mesquida, Claude Sarraute, Yolande Moreau, Michael Lonsdale"
"Next Stop, Wonderland",2.5,104.0,1998,"Profanity, Sexual Situations",ROMANCE/DRAMA,Brad Anderson,"Hope Davis, Alan Gelfant, Victor Argo, Cara Buono, Holland Taylor, José Zúñiga, Robert Klein"
Titus,3.5,162.0,1999,"Violence, Sexual Content, Nudity",DRAMA,Julie Taymor,"Anthony Hopkins, Matthew Rhys, Angus MacFadyen, Harry J. Lennix, Laura Fraser, James Frain, Colm Feore, Alan Cumming, Jessica Lange, Jonathan Rhys-Meyers"
Newsies,3.0,121.0,1992,Nothing Objectionable,MUSICAL,Kenny Ortega,"Christian Bale, Michael Lerner, Robert Duvall, Ele Keats, Ann-Margaret, Bill Pullman, Marty Belafsky, Gabriel Damon, Max Casella, Luke Edwards, David Moscow, Kevin Tighe"
Ocean's Twelve,3.0,130.0,2004,Profanity,THRILLER,Steven Soderbergh,"George Clooney, Bernie Mac, Eddie Jemison, Shaobo Qin, Carl Reiner, Elliott Gould, Andy Garcia, Matt Damon, Don Cheadle, Scott Caan, Casey Affleck, Catherine Zeta-Jones, Julia Roberts, Brad Pitt, Vincent Cassel"
"Hills Have Eyes, The",2.5,105.0,2006,"Violence, Profanity",HORROR,Alexandre Aja,"Aaron Stanford, Dan Byrd, Emilie de Ravin, Kathleen Quinlan, Ted Levine, Vinessa Shaw"
Remember the Titans,3.0,113.0,2000,"Mature Themes, Violence",DRAMA,Boaz Yakin,"Denzel Washington, Craig Kirkwood, Kip Pardue, Hayden Panettiere, Nicole Ari Parker, Ethan Suplee, Ryan Hurst, Wood Harris, Will Patton, Donald Faison"
Patch Adams,2.0,115.0,1998,"Profanity, Mature Themes",DRAMA/COMEDY,Tom Shadyac,"Robin Williams, Monica Potter, Daniel London, Philip Seymour Hoffman, Bob Gunton"
"Apostle, The",3.0,132.0,1997,"Profanity, Violence",DRAMA,Robert Duvall,"Robert Duvall, June Carter Cash, Billy Bob Thornton, Billy Joe Shaver, Rick Dial, Walter Goggins, John Beasley, Farrah Fawcett, Miranda Richardson, Todd Allen"
Welcome to the Dollhouse,3.0,87.0,,"Profanity, Sexual Situations",DRAMA,Todd Solondz,"Heather Matarazzo, Victoria Davis, Christina Brucato, Christina Vidal, Siri Howard, Brendan Sexton Jr., Telly Pontidis"
Alien vs. Predator: Requiem,1.0,85.0,2007,"Violence, Profanity",SCIENCE FICTION/ACTION,"Colin Strause, Greg Strause","Steven Pasquale, Reiko Aylesworth, John Ortiz, Johnny Lewis, Ariel Gade, Kristen Hager"
Aparajito,4.0,110.0,,Mature Themes,DRAMA,Satyajit Ray,"Karuna Bannerjee, Kanu Bannerjee, Pinaki Sengupta, Smaran Ghosal"
